,imdb_id,title,rating,ratingcount,certificate,genres,gross_ww,gross_domestic,budget,Aged_30_44_rat,Aged_30_44_totrat,US_users_rat,US_users_totrat,Females_rat,Females_totrat,Aged_45plus_rat,Aged_45plus_totrat,Aged_18_29_rat,Aged_18_29_totrat,Males_rat,Males_totrat,Aged_under_18_rat,Aged_under_18_totrat,Non_US_users_rat,Non_US_users_totrat
173,tt0165929,Romeo Must Die,6.1,71393,R,"['Action', 'Crime', 'Thriller']",91036760,55973336,25000000,6.1,40161,6.1,15529,6.2,5638,6.0,11610,6.2,2562,6.1,50145,6.4,6,6.1,46701
174,tt4262980,Shin Godzilla,6.8,28956,Not Rated,"['Action', 'Drama', 'Horror', 'Sci-Fi']",78053145,75403349,,6.7,10519,7.1,8632,6.8,1356,6.3,4078,7.2,3367,6.7,17951,7.8,18,6.6,19191
175,tt1300854,Iron Man 3,7.1,856776,PG-13,"['Action', 'Adventure', 'Sci-Fi']",1215577205,409013994,200000000,7.1,332743,7.2,195598,7.6,95083,7.1,79010,7.3,129987,7.1,497681,7.2,544,7.1,557099
176,tt0449059,Little Miss Sunshine,7.8,487254,R,"['Comedy', 'Drama']",101058954,59891098,8000000,7.8,251060,7.9,129204,8.0,99543,7.7,63156,7.9,49669,7.8,275050,8.0,135,7.8,315003
177,tt2126355,San Andreas,6.1,241653,PG-13,"['Action', 'Adventure', 'Thriller']",474009154,155190832,110000000,6.0,95082,6.2,53410,6.5,28153,6.1,34066,6.2,29887,6.0,143226,6.3,127,6.0,171094
178,tt1210166,Moneyball,7.6,429682,PG-13,"['Biography', 'Drama', 'Sport']",110206216,75605492,50000000,7.6,207611,7.8,111555,7.3,42234,7.5,51671,7.8,48587,7.6,280874,7.7,107,7.5,286310
179,tt1231580,Alvin and the Chipmunks: The Squeakquel,4.5,50530,PG,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music', 'Musical']",443140005,219614612,75000000,4.4,18837,4.3,13243,5.3,9247,4.5,4799,4.5,10316,4.3,26393,5.0,84,4.5,33347
180,tt5013056,Dunkirk,7.8,667777,PG-13,"['Action', 'Drama', 'History', 'Thriller', 'War']",527016307,189740665,100000000,7.8,223109,7.9,140384,7.9,60680,7.6,61603,8.1,102251,7.8,364255,7.7,420,7.8,505846
181,tt5165344,Rustom,7.0,27170,Not Rated,"['Crime', 'Drama', 'Thriller']",1658594,1087419,,6.8,7530,7.1,3925,6.8,998,6.5,679,7.2,4687,6.9,14207,7.2,18,7.0,19136
182,tt4191054,Strange Magic,5.7,11513,PG,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",13603453,12429583,22000000,5.6,4377,5.6,3644,6.3,3349,5.9,2093,5.7,1244,5.4,4977,4.0,9,5.7,6729
183,tt1645131,Romeo & Juliet,5.8,12131,PG-13,"['Drama', 'Romance']",2966268,1162635,,5.5,4322,5.8,3145,6.0,5132,5.8,1349,6.0,2661,5.5,3740,6.5,4,5.7,7643
184,tt2119532,Hacksaw Ridge,8.1,534005,R,"['Biography', 'Drama', 'History', 'War']",180563636,67209615,40000000,8.0,173208,8.2,108925,8.3,47924,7.9,48033,8.3,84304,8.0,288261,8.4,289,8.1,399053
185,tt2195548,Prince Avalanche,6.3,20309,R,"['Comedy', 'Drama']",442313,205139,725000.0,6.3,11679,6.4,5972,6.2,2749,6.0,3219,6.7,1754,6.3,14389,9.0,1,6.3,13450
186,tt0974015,Justice League,6.1,456990,PG-13,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",657926987,229024295,300000000.0,6.1,153216,6.1,114987,6.5,38903,6.4,42151,5.9,66424,6.1,254447,5.1,296,6.1,325309
187,tt2543164,Arrival,7.9,703799,PG-13,"['Drama', 'Mystery', 'Sci-Fi']",203388186,100546139,47000000,7.9,258723,8.0,154815,7.9,78631,7.6,74396,8.2,95792,7.9,387391,8.1,307,7.9,522560
188,tt0319262,The Day After Tomorrow,6.4,454289,PG-13,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",552639571,186740799,125000000,6.4,221361,6.3,102099,6.8,59372,6.4,61576,6.6,47631,6.4,285127,6.7,83,6.5,305279
189,tt2402927,Carol,7.2,132517,R,"['Drama', 'Romance']",40272135,12711491,11800000.0,7.1,51405,7.4,26840,7.3,33490,7.1,17580,7.6,19728,7.2,59933,7.9,53,7.2,99468
190,tt0332280,The Notebook,7.8,579030,PG-13,"['Drama', 'Romance']",118230644,81417274,29000000,7.8,272905,7.7,127835,8.2,182688,7.7,49247,7.8,82425,7.6,240847,7.5,152,7.8,383969
191,tt1731141,Ender's Game,6.6,243591,PG-13,"['Action', 'Adventure', 'Sci-Fi']",125544024,61737191,110000000,6.6,114090,6.7,57587,6.8,28766,6.5,38996,6.7,25871,6.5,161525,6.9,39,6.5,163778
192,tt1791528,Inherent Vice,6.6,106237,R,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Romance']",14710975,8110975,20000000.0,6.6,48598,6.7,28572,6.3,9798,6.2,15768,7.1,13350,6.6,71289,7.0,16,6.6,73272
193,tt0317919,Mission: Impossible III,6.9,361394,PG-13,"['Action', 'Adventure', 'Thriller']",398479497,134029801,150000000,6.9,175569,7.1,85373,6.8,28337,6.8,50534,7.1,36478,6.9,246275,7.0,121,6.9,244197
194,tt3397884,Sicario,7.6,436746,R,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",84997446,46889293,30000000,7.6,178951,7.9,97583,7.3,32679,7.6,52675,7.7,54057,7.7,273746,7.8,101,7.6,321876
195,tt5946128,Dear Zindagi,7.4,40943,Not Rated,"['Drama', 'Romance']",12468188,9268607,42000000,7.1,10695,7.4,6993,7.5,3286,6.6,995,7.8,9026,7.3,20531,6.7,12,7.4,27580
196,tt2356180,Bhaag Milkha Bhaag,8.2,69126,Not Rated,"['Biography', 'Drama', 'Sport']",17551296,15225379,410000000.0,8.0,25893,8.1,8301,7.9,2834,7.0,1849,8.5,13568,8.2,42859,8.0,22,8.1,47010
197,tt0450259,Blood Diamond,8.0,555714,R,"['Adventure', 'Drama', 'Thriller']",171720398,57377916,100000000,8.0,283505,7.9,107161,8.1,61753,7.7,58313,8.2,62872,8.0,360069,8.0,98,8.0,397820
198,tt1637706,Our Idiot Brother,6.4,88875,R,"['Comedy', 'Drama']",25804448,24816118,5000000,6.4,53855,6.5,30406,6.4,17541,6.3,13016,6.5,7192,6.4,58300,5.7,3,6.4,51568
199,tt5074352,Dangal,8.3,193928,Not Rated,"['Action', 'Biography', 'Drama', 'Sport']",303723636,193050870,700000000.0,8.3,55725,8.3,28670,8.4,13703,7.7,7782,8.5,32116,8.3,97064,8.1,140,8.3,145672
200,tt0320661,Kingdom of Heaven,7.2,292906,R,"['Action', 'Adventure', 'Drama', 'History', 'War']",218122627,47398413,130000000,7.2,151842,7.3,56408,7.0,28278,7.1,43536,7.5,24430,7.2,199777,7.1,33,7.2,207563
201,tt0089218,The Goonies,7.7,278926,PG,"['Adventure', 'Comedy', 'Family']",64499270,63711145,19000000.0,7.7,122132,8.0,103781,8.0,40411,7.7,50095,7.5,20142,7.6,161209,7.4,103,7.6,147872
202,tt0057652,The Victors,6.9,1628,,"['Drama', 'War']",,,,6.8,253,7.2,529,7.1,110,6.9,950,6.2,23,6.9,1129,,,6.8,895
203,tt1754656,The Little Prince,7.7,63265,PG,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']",97571250,24037389,81200000.0,7.6,26912,7.7,11890,8.0,13384,7.5,5787,7.9,9819,7.6,31974,7.4,53,7.6,47637
204,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,157278,PG,"['Adventure', 'Family', 'Fantasy']",415686217,104386950,155000000,6.2,66574,6.4,34259,6.7,32098,6.4,17617,6.2,27578,6.2,84773,6.5,66,6.2,109276
205,tt3501632,Thor: Ragnarok,7.9,759941,PG-13,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",855301806,315058289,180000000,7.8,228627,8.1,201958,8.1,75786,7.7,61693,8.0,108233,7.8,366735,8.1,757,7.8,540771
206,tt1180583,Vaaranam Aayiram,8.2,13354,Not Rated,"['Action', 'Drama', 'Musical', 'Romance']",921007,796297,140000000.0,7.7,3505,8.2,1590,7.4,306,6.0,199,8.6,2173,8.0,6396,7.2,5,8.2,10378
207,tt0082971,Raiders of the Lost Ark,8.4,972963,PG,"['Action', 'Adventure']",389925971,248159971,18000000,8.4,388286,8.8,279607,8.2,94041,8.7,173153,8.3,87747,8.5,587910,8.3,367,8.3,561186
208,tt0435761,Toy Story 3,8.3,842286,G,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",1067316101,415004880,200000000,8.4,356262,8.4,206298,8.3,119368,8.1,74508,8.4,128965,8.3,474525,8.3,595,8.2,538117
209,tt0758053,Saawariya,5.2,8048,PG,"['Drama', 'Musical', 'Romance']",18525631,15982236,,5.1,4490,5.4,1321,5.9,1346,5.6,695,5.2,857,5.0,4937,,,5.1,5780
210,tt1216300,Jannat,6.9,6777,Not Rated,"['Crime', 'Drama', 'Romance']",9407362,9088535,2800000,6.6,2949,6.9,856,6.5,254,5.9,153,7.4,1372,6.8,4569,10.0,1,6.9,5238
211,tt1979388,The Good Dinosaur,6.7,118228,PG,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']",332207671,123087120,200000000.0,6.6,48826,6.6,29860,6.9,18401,6.7,11472,6.7,16952,6.6,64665,6.2,160,6.7,82061
212,tt1321511,Oldboy,5.8,77378,R,"['Action', 'Drama', 'Mystery', 'Thriller']",5186767,2193658,30000000,5.7,37114,5.8,18418,5.7,7025,6.0,12597,5.4,7721,5.8,53491,3.5,16,5.8,54197
213,tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,6.2,459435,PG-13,"['Action', 'Adventure']",790653942,317101119,185000000,6.1,218903,6.1,129861,6.3,43451,6.2,74835,6.2,41711,6.1,305268,6.0,137,6.2,289505
214,tt1216492,Leap Year,6.4,106382,PG,"['Comedy', 'Romance']",32686500,25918920,19000000,6.3,52091,6.4,24068,6.7,43367,6.3,13489,6.7,13733,6.2,39129,5.3,8,6.4,73253
215,tt2554274,Crimson Peak,6.5,150918,R,"['Drama', 'Horror', 'Mystery', 'Romance', 'Thriller']",74679822,31090320,55000000,6.5,66982,6.6,36336,6.8,33807,6.4,19722,6.8,19182,6.4,78027,6.8,46,6.5,107105
216,tt1454468,Gravity,7.7,832194,PG-13,"['Drama', 'Sci-Fi', 'Thriller']",748049949,274092705,100000000,7.8,365503,7.8,165338,7.5,105040,7.7,98654,7.7,109283,7.8,510818,7.6,209,7.7,583761
217,tt0137523,Fight Club,8.8,2141403,R,['Drama'],101209702,37030102,63000000,8.9,869784,8.7,456718,8.7,253303,8.4,203264,8.9,261482,8.8,1168521,9.0,976,8.8,1381914
218,tt1985949,The Angry Birds Movie,6.3,95272,PG,"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']",352333929,107509366,73000000,6.2,35083,6.1,20369,6.5,10932,6.1,8782,6.4,13361,6.2,51675,6.3,191,6.3,69491
219,tt1258972,The Man with the Iron Fists,5.4,63224,R,['Action'],20546518,15634090,15000000,5.4,36285,5.5,14667,5.3,4386,5.3,10918,5.4,4346,5.4,49516,,,5.3,42784
220,tt0096054,School Daze,6.1,7581,R,"['Comedy', 'Drama', 'Musical']",14545844,14545844,6500000.0,6.0,2627,6.3,4895,6.9,1258,5.9,2546,6.4,311,5.9,4401,7.0,2,5.5,1759
221,tt0108071,The Secret Garden,7.3,42337,G,"['Drama', 'Family', 'Fantasy']",31181347,31181347,18000000.0,7.2,20932,7.4,14000,7.7,16184,7.1,7425,7.3,3270,7.0,16419,7.8,6,7.2,23922
222,tt0108002,Rudy,7.5,65054,PG,"['Biography', 'Drama', 'Sport']",22881563,22881563,,7.5,28789,7.6,39051,7.5,5796,7.5,13093,7.4,4183,7.5,42132,7.9,10,7.3,19462
223,tt2395427,Avengers: Age of Ultron,7.3,870604,PG-13,"['Action', 'Adventure', 'Sci-Fi']",1405018048,459005868,250000000,7.2,293908,7.4,206748,7.6,88878,7.2,72236,7.4,134414,7.2,460473,7.2,652,7.2,585058
224,tt1702439,Safe Haven,6.6,112210,PG-13,"['Drama', 'Romance', 'Thriller']",97594140,71349120,28000000,6.5,45758,6.6,25263,6.9,43433,6.4,11450,7.0,19826,6.4,39421,6.4,10,6.6,73523
225,tt4034354,Swiss Army Man,6.9,124578,R,"['Comedy', 'Drama', 'Fantasy', 'Romance']",4935501,4210454,3000000.0,6.9,49959,7.1,30584,6.9,14727,6.2,11272,7.4,20670,6.9,72765,7.6,46,6.9,89793
226,tt0808151,Angels & Demons,6.7,296970,PG-13,"['Action', 'Mystery', 'Thriller']",485930816,133375846,150000000,6.7,151101,6.7,51940,6.8,39881,6.5,39177,7.0,33727,6.7,192926,6.5,35,6.7,222815
227,tt1628841,Independence Day: Resurgence,5.2,181748,PG-13,"['Action', 'Adventure', 'Sci-Fi']",389681935,103144286,165000000,5.2,80807,5.2,38900,5.5,16640,5.2,29396,5.3,14187,5.2,118038,5.7,34,5.2,132838
228,tt3472226,Kung Fury,8.0,60369,Not Rated,"['Short', 'Action', 'Comedy', 'Fantasy', 'Sci-Fi']",7294403.0,,600000.0,8.0,29880,8.0,11560,7.9,3362,7.8,5742,8.0,8698,8.0,43250,6.1,9,7.9,44734
229,tt2406566,Atomic Blonde,6.7,196851,R,"['Action', 'Thriller']",100014025,51687870,30000000,6.6,77634,6.8,45239,6.7,23714,6.7,31585,6.8,22177,6.6,117895,6.9,23,6.6,147855
230,tt0422720,Marie Antoinette,6.5,113774,PG-13,"['Biography', 'Drama', 'History', 'Romance']",60917189,15962471,40000000,6.5,55764,6.5,28810,6.7,39835,6.2,18190,6.8,10960,6.3,47318,6.3,25,6.4,74624
231,tt0120689,The Green Mile,8.6,1310818,R,"['Crime', 'Drama', 'Fantasy', 'Mystery']",286801374,136801374,60000000,8.6,532997,8.5,264594,8.7,169121,8.4,155399,8.8,144956,8.6,718888,8.8,489,8.6,880213
232,tt1781769,Anna Karenina,6.6,101917,R,"['Drama', 'Romance']",68929150,12816367,40600000.0,6.5,47635,6.5,18871,6.8,39446,6.3,13228,6.8,14129,6.4,39033,6.5,18,6.6,74251
233,tt4302938,Kubo and the Two Strings,7.7,131306,PG,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy']",76249438,48023088,60000000,7.7,53794,7.9,34286,7.9,16445,7.7,12335,7.9,20045,7.7,76329,7.5,79,7.7,92133
234,tt0094721,Beetlejuice,7.5,310460,PG,"['Comedy', 'Fantasy']",74714298,74664632,15000000.0,7.5,135922,7.7,107295,7.7,54762,7.4,48886,7.4,25379,7.4,164436,7.6,126,7.3,173053
235,tt0147800,10 Things I Hate About You,7.3,349534,PG-13,"['Comedy', 'Drama', 'Romance']",53479546,38178166,30000000,7.2,157161,7.4,95352,7.8,110127,6.9,28934,7.6,49084,7.0,134897,7.7,204,7.2,218735
236,tt0102057,Hook,6.8,258800,PG,"['Adventure', 'Comedy', 'Family', 'Fantasy']",300854823,119654823,70000000,6.9,132543,7.0,85194,7.2,45218,6.2,36492,6.7,17477,6.7,148720,6.9,52,6.7,146350
237,tt1809398,Unbroken,7.2,171065,PG-13,"['Action', 'Biography', 'Drama', 'Sport', 'War']",161459297,115637895,65000000,7.1,67794,7.2,37860,7.5,24660,7.1,22227,7.4,25486,7.1,99263,7.8,48,7.2,121342
238,tt0477392,Broken Bridges,5.8,1729,PG-13,"['Drama', 'Music']",252539,252539,,5.9,666,6.0,1034,6.7,600,5.7,667,6.5,69,5.5,836,10.0,1,5.6,484
239,tt0091817,Rad,6.7,6504,PG,"['Drama', 'Sport']",2015882,2015882,,6.7,2619,7.0,4111,6.7,416,6.7,1882,5.7,122,6.7,4420,6.7,3,6.2,1655
240,tt0242256,Alaipayuthey,8.3,6749,Not Rated,"['Drama', 'Musical', 'Romance']",350000000.0,,,8.2,2572,8.2,992,8.3,340,7.1,243,8.4,990,8.2,3868,,,8.3,5142
241,tt0372824,The Chorus,7.8,63584,PG-13,"['Comedy', 'Drama', 'Music']",88385944,48765590,5500000.0,7.8,28430,7.8,6894,8.2,15243,7.8,10076,7.9,7821,7.7,32542,7.6,27,7.8,50883
242,tt1355644,Passengers,7.0,412386,PG-13,"['Drama', 'Romance', 'Sci-Fi', 'Thriller']",303144152,100014699,110000000,6.9,155178,7.0,79490,7.0,57618,7.0,48607,7.0,52719,7.0,221482,7.0,165,7.0,317466
243,tt0495032,Gangster,7.2,6320,Not Rated,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller']",2451379,2451379,5000000,7.2,3222,7.1,890,7.5,508,6.5,287,7.4,891,7.1,4155,,,7.2,4876
244,tt0383216,The Pink Panther,5.6,88353,PG,"['Adventure', 'Comedy', 'Crime', 'Mystery']",164115897,82226474,80000000,5.6,42646,5.5,20710,5.8,11434,5.2,12958,6.0,11596,5.6,57874,6.4,16,5.7,59812
245,tt0316654,Spider-Man 2,7.4,660290,PG-13,"['Action', 'Adventure', 'Sci-Fi']",788976453,373585825,200000000,7.3,268059,7.7,168927,7.0,62588,7.3,66021,7.6,88367,7.4,382461,8.0,566,7.3,426005
246,tt1538403,The Mortal Instruments: City of Bones,5.8,135644,PG-13,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Mystery', 'Romance']",95396573,31165421,60000000,5.6,55213,6.0,26729,6.4,48765,5.7,14643,6.2,24943,5.4,53679,5.6,12,5.7,86816
247,tt0451983,Zeher,5.6,2139,Not Rated,"['Crime', 'Drama', 'Mystery', 'Thriller']",,69871000.0,,5.5,1178,5.6,286,5.3,164,5.9,82,5.6,297,5.6,1478,,,5.6,1694
248,tt0268978,A Beautiful Mind,8.2,938538,PG-13,"['Biography', 'Drama']",316791257,170742341,58000000,8.2,409889,8.1,186532,8.3,134144,7.8,103031,8.4,112539,8.2,528859,8.0,211,8.2,633308
249,tt0084296,The Man from Snowy River,7.2,9347,PG,"['Adventure', 'Drama', 'Romance', 'Western']",20659423,20659423,3500000.0,6.9,2416,7.4,4969,7.9,1800,7.2,3886,7.1,283,7.0,5029,8.0,2,6.8,3202
250,tt0250797,Unfaithful,6.7,91489,R,"['Drama', 'Romance', 'Thriller']",119137784,52775765,50000000,6.7,44158,6.8,23780,6.9,20634,6.7,19002,6.8,4871,6.6,49530,5.8,9,6.7,58226
251,tt1521197,Anonymous,6.8,41314,PG-13,"['Drama', 'Thriller']",15395087,4463292,30000000,6.8,23310,6.8,7693,7.1,9019,6.8,8469,7.0,3349,6.8,26772,7.0,1,6.8,30497
252,tt0780536,In Bruges,7.9,435587,R,"['Comedy', 'Crime', 'Drama', 'Thriller']",39628327,15202263,15000000.0,7.9,231366,8.0,86539,7.8,47870,7.7,56271,8.1,43146,7.9,293569,8.2,45,7.9,317968
253,tt2980706,Planes: Fire & Rescue,5.9,18604,PG,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sport']",146965787,59165787,50000000,5.9,7493,5.9,4340,6.2,2067,6.1,3085,5.8,2387,5.9,11938,5.6,22,5.9,12801
254,tt5990474,Columbus,7.2,18799,Not Rated,['Drama'],1093077,1017107,,7.1,7056,7.4,5567,7.1,2038,6.7,2496,7.6,3072,7.2,11307,7.4,6,7.2,13074
255,tt2096672,Dumb and Dumber To,5.6,139441,PG-13,['Comedy'],169837010,86208010,40000000,5.6,66450,5.5,30071,5.3,12027,5.4,14359,5.9,18722,5.6,94353,5.5,54,5.6,99212
256,tt0765429,American Gangster,7.8,430953,R,"['Biography', 'Crime', 'Drama']",269755430,130164645,100000000,7.8,237536,7.8,99845,7.6,29685,7.6,55875,8.0,33118,7.8,309528,7.8,47,7.8,292142
257,tt0810819,The Danish Girl,7.1,189095,R,"['Biography', 'Crime', 'Drama']",64191523,11114018,15000000.0,7.0,72468,7.0,29214,7.5,51898,7.0,19539,7.2,30783,6.9,79013,6.6,54,7.1,148948
258,tt0307479,Solaris,6.2,83999,PG-13,"['Drama', 'Mystery', 'Romance', 'Sci-Fi']",30002758,14973382,47000000,6.2,39829,6.3,19742,5.9,7604,6.2,22402,6.2,2382,6.2,58046,7.2,6,6.1,53183
259,tt0099800,House Party,6.5,15569,R,"['Comedy', 'Music', 'Romance']",26385627,26385627,2500000.0,6.4,6204,6.7,8304,6.8,1724,6.3,3645,6.6,472,6.4,9013,10.0,1,6.1,4574
260,tt1059786,Eagle Eye,6.6,189118,PG-13,"['Action', 'Mystery', 'Thriller']",178767383,101440743,80000000,6.6,107055,6.5,49581,6.7,20718,6.5,27587,6.7,16806,6.6,135065,5.7,13,6.6,124470
261,tt1392190,Mad Max: Fury Road,8.1,1011418,R,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",415261382,154109060,150000000,8.1,374925,8.3,211530,7.9,94778,7.7,93313,8.3,143675,8.1,571561,8.3,370,8.0,708003
262,tt0252028,Surviving Christmas,5.4,25956,PG-13,"['Comedy', 'Romance']",15125687,11663156,45000000.0,5.4,12540,5.4,7744,5.7,5116,5.3,5215,5.7,1903,5.3,15151,5.7,3,5.5,15956
263,tt2614722,Umrika,6.6,1509,,"['Comedy', 'Drama']",138706,63434,,6.5,622,6.8,279,6.8,252,6.7,341,6.4,133,6.5,902,,,6.6,1175
264,tt1877832,X-Men: Days of Future Past,7.9,717565,PG-13,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",746045700,233921534,200000000,7.9,297889,8.1,158289,8.1,82187,7.7,65221,8.2,110097,7.9,432421,8.1,262,7.9,473004
